text,label
Gas bill payment 8802,Bills
YouTube Premium bill 9601,Entertainment
PVR Cinemas ticket 4696,Entertainment
Water bill 5836,Bills
PVR Cinemas ticket 5601,Entertainment
Domino's Pizza delivery 4946,Food
Rapido bike ride 9595,Travel
Paid electricity bill 3477,Bills
Ola cab payment 7519,Travel
McDonald's burger meal 1075,Food
Spotify Premium payment 3666,Entertainment
Dinner from Zomato 7811,Food
Croma online shopping 732,Shopping
Myntra fashion order 8383,Shopping
Myntra fashion order 2406,Shopping
YouTube Premium bill 6923,Entertainment
Bus ticket payment 7709,Travel
Bus ticket payment 6333,Travel
Consultation booked on Practo 3423,Medical
Fortis Hospital checkup 6750,Medical
Consultation booked on Practo 582,Medical
Paid electricity bill 1530,Bills
Bought item from Amazon 469,Shopping
McDonald's burger meal 809,Food
Lunch at KFC 1730,Food
Train booking IRCTC 7288,Travel
Fortis Hospital checkup 1003,Medical
Ordered food from Swiggy 7669,Food
Doctor appointment 4494,Medical
Croma online shopping 4339,Shopping
Paid electricity bill 6675,Bills
TataCliq product order 1854,Shopping
MedPlus order 1046,Medical
Airtel broadband bill 1380,Bills
McDonald's burger meal 1147,Food
Myntra fashion order 6064,Shopping
Hotstar monthly plan 9546,Entertainment
Water bill 2833,Bills
MedPlus order 4638,Medical
Netflix subscription 5532,Entertainment
Jio Fiber payment 338,Bills
Domino's Pizza delivery 9242,Food
Doctor appointment 472,Medical
Water bill 5759,Bills
Airtel broadband bill 4661,Bills
Jio Fiber payment 1951,Bills
Ola cab payment 1919,Travel
TataCliq product order 6743,Shopping
Consultation booked on Practo 6692,Medical
Ola cab payment 7128,Travel
Flight ticket Indigo 9002,Travel
Consultation booked on Practo 141,Medical
Bought medicines from Apollo 8740,Medical
Flight ticket Indigo 6787,Travel
Domino's Pizza delivery 5442,Food
Doctor appointment 4194,Medical
Croma online shopping 7265,Shopping
Water bill 438,Bills
Gas bill payment 3986,Bills
Consultation booked on Practo 6324,Medical
Water bill 8200,Bills
Watched movie on BookMyShow 8907,Entertainment
Order placed on Flipkart 5461,Shopping
Flight ticket Indigo 5518,Travel
Netflix subscription 2480,Entertainment
Croma online shopping 7250,Shopping
PVR Cinemas ticket 2818,Entertainment
Bought item from Amazon 5794,Shopping
Pizza Hut order 3129,Food
Croma online shopping 4742,Shopping
Pharmacy bill 5314,Medical
Fortis Hospital checkup 7835,Medical
Rapido bike ride 2110,Travel
Ola cab payment 7485,Travel
MedPlus order 8314,Medical
YouTube Premium bill 4868,Entertainment
Water bill 5392,Bills
Hotstar monthly plan 3045,Entertainment
Flight ticket Indigo 6280,Travel
Lunch at KFC 4304,Food
Dinner from Zomato 5859,Food
PVR Cinemas ticket 1011,Entertainment
Myntra fashion order 8137,Shopping
Gas bill payment 1573,Bills
BSNL recharge 6604,Bills
Pizza Hut order 6037,Food
Watched movie on BookMyShow 6767,Entertainment
Ola cab payment 1663,Travel
MedPlus order 2374,Medical
Watched movie on BookMyShow 5613,Entertainment
Netflix subscription 6654,Entertainment
Pizza Hut order 3153,Food
Watched movie on BookMyShow 8856,Entertainment
Dinner from Zomato 7154,Food
Train booking IRCTC 1588,Travel
Order placed on Flipkart 3286,Shopping
Dinner from Zomato 430,Food
Bus ticket payment 6945,Travel
Jio Fiber payment 7476,Bills
Order placed on Flipkart 1275,Shopping
TataCliq product order 1381,Shopping
Croma online shopping 5456,Shopping
Jio Fiber payment 8968,Bills
Gas bill payment 5628,Bills
McDonald's burger meal 3453,Food
Rapido bike ride 2903,Travel
Rapido bike ride 6228,Travel
Pharmacy bill 1975,Medical
Pizza Hut order 7278,Food
Paid electricity bill 5453,Bills
Netflix subscription 8444,Entertainment
Ola cab payment 2338,Travel
Water bill 2372,Bills
Reliance Digital purchase 6036,Shopping
Bought medicines from Apollo 8181,Medical
Netflix subscription 546,Entertainment
Consultation booked on Practo 2550,Medical
Jio Fiber payment 3841,Bills
Dinner from Zomato 8224,Food
Bus ticket payment 4297,Travel
Netflix subscription 4616,Entertainment
Spotify Premium payment 2796,Entertainment
Consultation booked on Practo 1027,Medical
Myntra fashion order 116,Shopping
Croma online shopping 376,Shopping
Train booking IRCTC 1863,Travel
McDonald's burger meal 8131,Food
Netflix subscription 4684,Entertainment
Netflix subscription 9541,Entertainment
Lunch at KFC 6898,Food
Order placed on Flipkart 7311,Shopping
Ola cab payment 5394,Travel
Hotstar monthly plan 9719,Entertainment
Pizza Hut order 3406,Food
Flight ticket Indigo 6979,Travel
Bus ticket payment 5712,Travel
Ola cab payment 8639,Travel
Jio Fiber payment 7378,Bills
Croma online shopping 4555,Shopping
Bought medicines from Apollo 6529,Medical
Myntra fashion order 5452,Shopping
Myntra fashion order 7127,Shopping
Netflix subscription 1202,Entertainment
Gas bill payment 5898,Bills
Jio Fiber payment 1385,Bills
Hotstar monthly plan 3134,Entertainment
Watched movie on BookMyShow 9943,Entertainment
Watched movie on BookMyShow 7957,Entertainment
MedPlus order 5269,Medical
Flight ticket Indigo 1989,Travel
PVR Cinemas ticket 1081,Entertainment
Fortis Hospital checkup 3164,Medical
Airtel broadband bill 3070,Bills
Paid electricity bill 908,Bills
Bought medicines from Apollo 2321,Medical
Airtel broadband bill 6070,Bills
Domino's Pizza delivery 3996,Food
Order placed on Flipkart 7291,Shopping
Cab ride with Uber 9690,Travel
Doctor appointment 3739,Medical
Paid electricity bill 5217,Bills
Croma online shopping 6032,Shopping
Croma online shopping 3155,Shopping
Doctor appointment 9314,Medical
Cab ride with Uber 413,Travel
McDonald's burger meal 9459,Food
MedPlus order 6704,Medical
Ola cab payment 3511,Travel
PVR Cinemas ticket 610,Entertainment
YouTube Premium bill 3154,Entertainment
Doctor appointment 1721,Medical
YouTube Premium bill 8193,Entertainment
Spotify Premium payment 1986,Entertainment
Hotstar monthly plan 3058,Entertainment
Rapido bike ride 6544,Travel
Pizza Hut order 2534,Food
Airtel broadband bill 5165,Bills
Watched movie on BookMyShow 9015,Entertainment
Bus ticket payment 5568,Travel
Ola cab payment 4634,Travel
Flight ticket Indigo 6717,Travel
Pizza Hut order 1606,Food
Gas bill payment 2717,Bills
Airtel broadband bill 6146,Bills
Pharmacy bill 7531,Medical
PVR Cinemas ticket 6511,Entertainment
Ola cab payment 2112,Travel
Cab ride with Uber 2212,Travel
Bought item from Amazon 7968,Shopping
Pizza Hut order 7875,Food
Watched movie on BookMyShow 9417,Entertainment
Myntra fashion order 5975,Shopping
Ola cab payment 1609,Travel
Netflix subscription 8150,Entertainment
Airtel broadband bill 4253,Bills
Airtel broadband bill 490,Bills
Spotify Premium payment 3049,Entertainment
McDonald's burger meal 360,Food
Train booking IRCTC 4142,Travel
Rapido bike ride 9527,Travel
Hotstar monthly plan 8643,Entertainment
TataCliq product order 7858,Shopping
Lunch at KFC 6439,Food
Myntra fashion order 964,Shopping
Lunch at KFC 868,Food
Bought item from Amazon 797,Shopping
Hotstar monthly plan 9692,Entertainment
Pharmacy bill 2648,Medical
Gas bill payment 9899,Bills
YouTube Premium bill 5584,Entertainment
Ola cab payment 8023,Travel
Water bill 3599,Bills
Domino's Pizza delivery 8329,Food
Reliance Digital purchase 790,Shopping
YouTube Premium bill 2694,Entertainment
Jio Fiber payment 7690,Bills
Lunch at KFC 1370,Food
Order placed on Flipkart 6062,Shopping
McDonald's burger meal 4651,Food
Hotstar monthly plan 1235,Entertainment
Doctor appointment 6384,Medical
Bought item from Amazon 6239,Shopping
Cab ride with Uber 5363,Travel
MedPlus order 1880,Medical
Bus ticket payment 9452,Travel
Paid electricity bill 9710,Bills
YouTube Premium bill 1055,Entertainment
Doctor appointment 9008,Medical
YouTube Premium bill 8598,Entertainment
Fortis Hospital checkup 1585,Medical
Lunch at KFC 8128,Food
Order placed on Flipkart 7999,Shopping
Domino's Pizza delivery 3613,Food
Paid electricity bill 6959,Bills
BSNL recharge 6518,Bills
Order placed on Flipkart 5562,Shopping
Consultation booked on Practo 8845,Medical
YouTube Premium bill 6774,Entertainment
Gas bill payment 156,Bills
Lunch at KFC 5112,Food
Gas bill payment 3492,Bills
Bus ticket payment 8367,Travel
Flight ticket Indigo 3807,Travel
BSNL recharge 6120,Bills
Bought item from Amazon 6390,Shopping
Ola cab payment 5460,Travel
Flight ticket Indigo 3911,Travel
Water bill 2017,Bills
Doctor appointment 7937,Medical
Pharmacy bill 304,Medical
PVR Cinemas ticket 3552,Entertainment
Consultation booked on Practo 1599,Medical
YouTube Premium bill 1097,Entertainment
Domino's Pizza delivery 9860,Food
Reliance Digital purchase 8839,Shopping
Pizza Hut order 6876,Food
Ola cab payment 2624,Travel
YouTube Premium bill 6151,Entertainment
MedPlus order 5383,Medical
Myntra fashion order 5183,Shopping
BSNL recharge 630,Bills
Paid electricity bill 8619,Bills
Flight ticket Indigo 1694,Travel
Jio Fiber payment 7201,Bills
Order placed on Flipkart 663,Shopping
Cab ride with Uber 4768,Travel
Lunch at KFC 4814,Food
Order placed on Flipkart 4888,Shopping
PVR Cinemas ticket 5816,Entertainment
Fortis Hospital checkup 6374,Medical
Fortis Hospital checkup 7655,Medical
Airtel broadband bill 6391,Bills
YouTube Premium bill 4650,Entertainment
Fortis Hospital checkup 5164,Medical
Pizza Hut order 1220,Food
Paid electricity bill 431,Bills
Flight ticket Indigo 9965,Travel
Ola cab payment 6314,Travel
Jio Fiber payment 9457,Bills
Hotstar monthly plan 6102,Entertainment
Fortis Hospital checkup 1350,Medical
Pizza Hut order 8592,Food
Gas bill payment 4368,Bills
Pharmacy bill 321,Medical
Jio Fiber payment 3502,Bills
BSNL recharge 6185,Bills
Hotstar monthly plan 1186,Entertainment
Domino's Pizza delivery 2305,Food
Gas bill payment 766,Bills
Reliance Digital purchase 6962,Shopping
Cab ride with Uber 3837,Travel
Domino's Pizza delivery 8481,Food
Ola cab payment 5218,Travel
Spotify Premium payment 7488,Entertainment
Reliance Digital purchase 2170,Shopping
Consultation booked on Practo 2954,Medical
Watched movie on BookMyShow 5890,Entertainment
Bought medicines from Apollo 5519,Medical
PVR Cinemas ticket 3700,Entertainment
Lunch at KFC 3011,Food
Jio Fiber payment 5697,Bills
Bought medicines from Apollo 3280,Medical
Netflix subscription 7820,Entertainment
Pizza Hut order 6768,Food
Cab ride with Uber 2341,Travel
Order placed on Flipkart 2436,Shopping
Bought medicines from Apollo 1308,Medical
Pizza Hut order 7151,Food
BSNL recharge 1527,Bills
Consultation booked on Practo 5983,Medical
Hotstar monthly plan 9359,Entertainment
Doctor appointment 2139,Medical
Airtel broadband bill 3158,Bills
McDonald's burger meal 2313,Food
Bought item from Amazon 2584,Shopping
Rapido bike ride 3674,Travel
Ola cab payment 1124,Travel
Flight ticket Indigo 3094,Travel
Reliance Digital purchase 203,Shopping
Fortis Hospital checkup 8153,Medical
Dinner from Zomato 2517,Food
Fortis Hospital checkup 3606,Medical
BSNL recharge 433,Bills
Domino's Pizza delivery 1420,Food
Spotify Premium payment 5909,Entertainment
Ordered food from Swiggy 715,Food
Dinner from Zomato 8408,Food
Netflix subscription 9719,Entertainment
TataCliq product order 4587,Shopping
Netflix subscription 1133,Entertainment
Train booking IRCTC 3780,Travel
YouTube Premium bill 6361,Entertainment
Bought item from Amazon 6723,Shopping
Train booking IRCTC 4620,Travel
Netflix subscription 4444,Entertainment
Reliance Digital purchase 275,Shopping
Watched movie on BookMyShow 5395,Entertainment
Rapido bike ride 9318,Travel
Airtel broadband bill 2380,Bills
Order placed on Flipkart 5834,Shopping
Reliance Digital purchase 6101,Shopping
Gas bill payment 668,Bills
Bus ticket payment 9548,Travel
Netflix subscription 2425,Entertainment
Pharmacy bill 3756,Medical
Bought medicines from Apollo 6618,Medical
McDonald's burger meal 6892,Food
BSNL recharge 9626,Bills
Bought medicines from Apollo 4739,Medical
Flight ticket Indigo 1540,Travel
Paid electricity bill 6611,Bills
Hotstar monthly plan 8007,Entertainment
MedPlus order 9815,Medical
Gas bill payment 9922,Bills
Hotstar monthly plan 6777,Entertainment
Bus ticket payment 6876,Travel
Pizza Hut order 3333,Food
Rapido bike ride 1412,Travel
Bought item from Amazon 5684,Shopping
Hotstar monthly plan 2858,Entertainment
Netflix subscription 8688,Entertainment
Netflix subscription 8836,Entertainment
Hotstar monthly plan 816,Entertainment
Pizza Hut order 2597,Food
Jio Fiber payment 2890,Bills
Order placed on Flipkart 3573,Shopping
Consultation booked on Practo 8541,Medical
Doctor appointment 9221,Medical
Gas bill payment 4118,Bills
Rapido bike ride 7350,Travel
TataCliq product order 8724,Shopping
Lunch at KFC 6472,Food
Gas bill payment 4475,Bills
Myntra fashion order 719,Shopping
Train booking IRCTC 9273,Travel
Reliance Digital purchase 5227,Shopping
Netflix subscription 4513,Entertainment
Jio Fiber payment 4610,Bills
Watched movie on BookMyShow 147,Entertainment
Bought medicines from Apollo 4939,Medical
Reliance Digital purchase 6973,Shopping
McDonald's burger meal 7981,Food
Bought medicines from Apollo 3741,Medical
Croma online shopping 2858,Shopping
YouTube Premium bill 3563,Entertainment
Lunch at KFC 1329,Food
Gas bill payment 9076,Bills
Bus ticket payment 4516,Travel
Jio Fiber payment 4045,Bills
Rapido bike ride 8296,Travel
Flight ticket Indigo 5337,Travel
BSNL recharge 4352,Bills
Myntra fashion order 5988,Shopping
Gas bill payment 7811,Bills
Pizza Hut order 2278,Food
Flight ticket Indigo 8246,Travel
Doctor appointment 9447,Medical
TataCliq product order 3310,Shopping
Rapido bike ride 5617,Travel
Flight ticket Indigo 8305,Travel
Flight ticket Indigo 1699,Travel
Order placed on Flipkart 5374,Shopping
Airtel broadband bill 7162,Bills
Train booking IRCTC 308,Travel
Gas bill payment 2265,Bills
Bought medicines from Apollo 9328,Medical
Ordered food from Swiggy 5603,Food
Bus ticket payment 3462,Travel
Airtel broadband bill 1724,Bills
TataCliq product order 3018,Shopping
Ola cab payment 3378,Travel
Bought item from Amazon 6012,Shopping
Doctor appointment 3390,Medical
Reliance Digital purchase 1088,Shopping
Bus ticket payment 6558,Travel
Fortis Hospital checkup 1607,Medical
Netflix subscription 7945,Entertainment
Paid electricity bill 6141,Bills
Croma online shopping 6882,Shopping
Consultation booked on Practo 9221,Medical
Bought item from Amazon 6730,Shopping
Water bill 8177,Bills
Bought medicines from Apollo 7588,Medical
Order placed on Flipkart 7287,Shopping
Train booking IRCTC 3834,Travel
Bus ticket payment 4616,Travel
Cab ride with Uber 4145,Travel
Dinner from Zomato 1472,Food
Netflix subscription 5816,Entertainment
Flight ticket Indigo 8543,Travel
TataCliq product order 9102,Shopping
Pizza Hut order 4927,Food
Reliance Digital purchase 8910,Shopping
Fortis Hospital checkup 5291,Medical
PVR Cinemas ticket 9461,Entertainment
Ola cab payment 957,Travel
Dinner from Zomato 3958,Food
Consultation booked on Practo 2959,Medical
Dinner from Zomato 6638,Food
Water bill 610,Bills
Consultation booked on Practo 6832,Medical
BSNL recharge 7758,Bills
BSNL recharge 3273,Bills
Domino's Pizza delivery 9081,Food
Croma online shopping 6709,Shopping
Bought item from Amazon 2169,Shopping
Cab ride with Uber 1007,Travel
McDonald's burger meal 2750,Food
Hotstar monthly plan 7161,Entertainment
Myntra fashion order 739,Shopping
Water bill 9670,Bills
McDonald's burger meal 5401,Food
Airtel broadband bill 4046,Bills
Doctor appointment 5422,Medical
BSNL recharge 3937,Bills
Train booking IRCTC 5711,Travel
PVR Cinemas ticket 4577,Entertainment
PVR Cinemas ticket 7794,Entertainment
Ordered food from Swiggy 6733,Food
Pizza Hut order 1112,Food
Doctor appointment 6357,Medical
Cab ride with Uber 3533,Travel
Consultation booked on Practo 3520,Medical
Bus ticket payment 3043,Travel
Bought item from Amazon 720,Shopping
Rapido bike ride 876,Travel
PVR Cinemas ticket 1795,Entertainment
TataCliq product order 8973,Shopping
Croma online shopping 7086,Shopping
Cab ride with Uber 4093,Travel
PVR Cinemas ticket 1065,Entertainment
Spotify Premium payment 3972,Entertainment
Croma online shopping 9804,Shopping
Domino's Pizza delivery 5539,Food
Consultation booked on Practo 1112,Medical
BSNL recharge 4548,Bills
Netflix subscription 678,Entertainment
Pharmacy bill 1391,Medical
Bought medicines from Apollo 5252,Medical
Flight ticket Indigo 2440,Travel
Lunch at KFC 6483,Food
Pizza Hut order 3191,Food
PVR Cinemas ticket 6381,Entertainment
TataCliq product order 216,Shopping
Domino's Pizza delivery 9344,Food
Water bill 5244,Bills
Hotstar monthly plan 2713,Entertainment
Ola cab payment 3305,Travel
Consultation booked on Practo 9087,Medical
Netflix subscription 6029,Entertainment
Lunch at KFC 5667,Food
Reliance Digital purchase 8109,Shopping
Domino's Pizza delivery 835,Food
Myntra fashion order 7335,Shopping
Bought item from Amazon 9178,Shopping
MedPlus order 3384,Medical
Netflix subscription 8795,Entertainment
Bought medicines from Apollo 6602,Medical
Rapido bike ride 2096,Travel
Fortis Hospital checkup 8395,Medical
Airtel broadband bill 8321,Bills
Ola cab payment 276,Travel
Doctor appointment 9922,Medical
Airtel broadband bill 7881,Bills
Jio Fiber payment 1558,Bills
Watched movie on BookMyShow 5692,Entertainment
Domino's Pizza delivery 5901,Food
Bought item from Amazon 7034,Shopping
Rapido bike ride 474,Travel
Croma online shopping 1968,Shopping
Pharmacy bill 2478,Medical
Bought medicines from Apollo 2116,Medical
BSNL recharge 2814,Bills
Dinner from Zomato 1103,Food
